code,price_jpy,price_date,change_1d_pct,change_1m_pct,change_1y_pct,market_cap_oku,market_cap_tier,per,per_forecast,pbr,psr,ev_ebitda,peg,roe,dividend_yield,dividend_annual,dividend_payout_ratio,total_return_yield,ma_25,ma_75,ma_200,high_52w,low_52w,rsi_14,avg_volume_3m,credit_buy,credit_sell,credit_ratio,price_history_json,foreign_ownership,individual_ownership,stable_ownership,latest_revenue_oku,latest_op_profit_oku,latest_op_margin,target_consensus,target_high,target_low,analyst_buy,analyst_hold,analyst_sell,valuation_verdict,valuation_score,updated_at
1852,828,2026-06-26,1.595092,2.2222222222222223,9.523809523809524,668,,12.903226,,1.3432335,,,,,0,,,,803.04,,,1233,741,72.27722772277228,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.970Z
1853,323,2026-06-26,0,2.5396825396825395,7.308970099667775,106,,11.417461,,3.6043878,,,,,0,,,,316.08,,,352,299,65.625,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.971Z
1860,1624,2026-06-26,0.9009009,4.33665274654674,72.60069697748517,4808,,13.175402,,1.2301605,,,,,3.6036037,,,,1561.18,,,1665,906,69.08752327746741,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.972Z
1861,1388,2026-06-26,1.9089574,-2.937062937062937,34.593939393939394,2358,,11.876444,,1.2554053,,,,,3.4508076,,,,1388.76,,,2043,1008.75,57.14285714285714,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.973Z
1866,1080,2026-06-26,8.108108,5.365853658536586,3.9711191335740073,263,,7.5245595,,0.5093057,,,,,3.003003,,,,1004.24,,,1714,925,75.23809523809524,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.973Z
1867,2380,2026-06-26,0.042034466,1.276595744680851,19.83887210473313,156,,6.4977612,,0.49311176,,,,,5.0441362,,,,2384.28,,,3275,1955,49.65831435079727,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.974Z
1870,1811,2026-06-26,1.2297373,-3.464818763326226,1.1166945840312674,782,,9.208319,,1.0289481,,,,,5.589715,,,,1827.96,,,2534,1700,52.0408163265306,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.974Z
1871,2215,2026-06-26,2.9753604,1.187756966651439,23.604910714285715,1037,,11.111111,,1.5836699,,,,,5.5788007,,,,2175.12,,,3550,1706,60,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.975Z
1873,303,2026-06-26,-0.6557377,3.767123287671233,3.4129692832764507,121,,9.042077,,0.531928,,,,,3.9344262,,,,297.28,,,336,285,62.85714285714286,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.976Z
1878,3046,2026-06-26,1.3643926,-3.9722572509457756,-2.1836865767501603,9896,,10.1937685,,1.9982432,,,,,5.0049916,,,,3060.34,,,3848,2844.5,60.089020771513354,,,,,,,,,,,,,,,,,,割安,72,2026-06-28T11:20:38.976Z
1879,2097,2026-06-26,0.23900573,-7.294429708222812,28.413962033067975,1227,,8.057947,,0.9116028,,,,,3.2026768,,,,2205.6,,,2339,1617,40.75342465753425,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.977Z
1882,1528,2026-06-26,0.8580858,0.8580858085808581,0.7251153592617008,706,,20.576353,,1.316279,,,,,5.940594,,,,1512.16,,,1954,1457,58.97435897435897,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.978Z
1885,2072,2026-06-26,1.4194812,-11.604095563139932,27.35095267363245,1602,,8.340378,,1.374709,,,,,3.768967,,,,2221.64,,,4680,1492,46.1436170212766,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.978Z
